t,k,exportVal,rca,distance,importVal,imports_norm,density,code,description
2010,940130,3352.623,0.1792,0.7872,12220.552,0.0981,0.2128,940130,"Seats: swivel with variable height adjustment, excluding medical, surgical, dental, veterinary or barber furniture"
2011,940130,4421.382,0.2015,0.8142,13649.785,0.0951,0.18579999999999997,940130,"Seats: swivel with variable height adjustment, excluding medical, surgical, dental, veterinary or barber furniture"
2012,940130,3978.143,0.1871,0.8079,20290.655,0.0943,0.19210000000000005,940130,"Seats: swivel with variable height adjustment, excluding medical, surgical, dental, veterinary or barber furniture"
2013,940130,2884.019,0.1276,0.8106,25090.566,0.1237,0.1894,940130,"Seats: swivel with variable height adjustment, excluding medical, surgical, dental, veterinary or barber furniture"
2014,940130,3752.978,0.1548,0.8196,23991.947,0.1657,0.1804,940130,"Seats: swivel with variable height adjustment, excluding medical, surgical, dental, veterinary or barber furniture"
2015,940130,3540.184,0.1228,0.8667,17929.34,0.1391,0.13329999999999997,940130,"Seats: swivel with variable height adjustment, excluding medical, surgical, dental, veterinary or barber furniture"
2016,940130,3280.921,0.1338,0.8659,16656.626,0.1045,0.1341,940130,"Seats: swivel with variable height adjustment, excluding medical, surgical, dental, veterinary or barber furniture"
2017,940130,4578.254,0.1749,0.8675,18951.981,0.1108,0.13249999999999995,940130,"Seats: swivel with variable height adjustment, excluding medical, surgical, dental, veterinary or barber furniture"
2018,940130,3892.455,0.1314,0.8678,20649.973,0.1224,0.13219999999999998,940130,"Seats: swivel with variable height adjustment, excluding medical, surgical, dental, veterinary or barber furniture"
2019,940130,4530.774,0.1541,0.8716,18965.905,0.0842,0.12839999999999996,940130,"Seats: swivel with variable height adjustment, excluding medical, surgical, dental, veterinary or barber furniture"
2020,940130,3044.538,0.0845,0.8925,15094.867,0.1099,0.10750000000000004,940130,"Seats: swivel with variable height adjustment, excluding medical, surgical, dental, veterinary or barber furniture"
2010,940140,434.855,0.0546,0.7677,3173.243,0.018,0.23229999999999995,940140,"Seats: convertible into beds, other than garden seats or camping equipment"
2011,940140,1019.964,0.1053,0.7948,5758.14,0.0328,0.20520000000000005,940140,"Seats: convertible into beds, other than garden seats or camping equipment"
2012,940140,1051.427,0.1061,0.7857,8464.681,0.035,0.21430000000000005,940140,"Seats: convertible into beds, other than garden seats or camping equipment"
2013,940140,1038.073,0.1014,0.7911,7006.217,0.0292,0.20889999999999997,940140,"Seats: convertible into beds, other than garden seats or camping equipment"
2014,940140,956.226,0.089,0.7976,4410.19,0.0142,0.20240000000000002,940140,"Seats: convertible into beds, other than garden seats or camping equipment"
