,CAT_B,TaxYear,Establishments,FTE
0,BUF,2014,10,185
1,BUF,2015,11,199
2,BUF,2016,16,234
3,BUF,2017,19,200
4,BUF,2018,19,220
5,BUF,2019,15,171
6,BUF,2020,15,82
7,BUF,2021,15,79
8,BUF,2022,18,109
9,BUF,2023,18,109
10,CPT,2014,199,4798
11,CPT,2015,237,5082
12,CPT,2016,248,5232
13,CPT,2017,261,5255
14,CPT,2018,237,5255
15,CPT,2019,248,4865
16,CPT,2020,245,4545
17,CPT,2021,224,4104
18,CPT,2022,225,4146
19,CPT,2023,223,3764
20,EC101,2014,0,86
21,EC101,2015,0,86
22,EC101,2016,0,92
23,EC101,2017,0,96
24,EC101,2018,0,102
25,EC101,2019,0,99
26,EC101,2020,0,105
27,EC101,2021,0,102
28,EC101,2022,0,95
29,EC101,2023,0,87
30,EC104,2016,0,18
31,EC106,2014,0,0
32,EC106,2015,0,0
33,EC106,2016,0,0
34,EC106,2017,0,0
35,EC106,2018,0,0
36,EC106,2019,0,0
37,EC106,2020,0,0
38,EC106,2021,0,0
39,EC106,2022,0,0
40,EC106,2023,0,0
41,EC108,2014,0,60
42,EC108,2015,0,33
43,EC108,2016,0,37
44,EC108,2017,0,32
45,EC108,2018,0,42
46,EC108,2019,0,51
47,EC108,2020,0,48
48,EC108,2021,0,50
49,EC108,2022,0,47
50,EC108,2023,0,49
51,EC121,2014,0,0
52,EC121,2015,0,0
53,EC121,2019,0,0
54,EC122,2014,0,11
55,EC122,2015,0,11
56,EC122,2019,0,0
57,EC123,2014,0,24
58,EC123,2015,0,25
59,EC123,2016,0,23
60,EC123,2017,0,30
61,EC123,2018,0,29
62,EC123,2019,0,19
63,EC123,2020,0,0
64,EC123,2021,0,0
65,EC123,2022,0,0
66,EC123,2023,0,0
67,EC124,2014,0,0
68,EC124,2015,0,0
69,EC124,2016,0,0
70,EC124,2017,0,102
71,EC124,2018,0,75
72,EC124,2019,0,56
73,EC124,2020,0,61
74,EC124,2021,0,63
75,EC124,2022,0,61
76,EC124,2023,0,55
77,EC126,2016,0,0
78,EC135,2014,0,0
79,EC135,2015,0,0
80,EC136,2015,0,0
81,EC136,2016,0,30
82,EC136,2017,0,0
83,EC136,2018,0,0
84,EC136,2019,0,0
85,EC136,2020,0,0
86,EC137,2014,0,0
87,EC137,2015,0,0
88,EC138,2014,0,0
89,EC138,2015,0,0
90,EC139,2014,0,224
91,EC139,2015,0,189
92,EC139,2016,0,117
93,EC139,2017,0,21
94,EC139,2018,0,17
95,EC139,2019,0,17
96,EC139,2020,0,20
97,EC139,2021,0,11
98,EC139,2022,0,11
99,EC139,2023,0,0
100,EC141,2022,0,0
101,EC145,2023,0,0
102,EC155,2016,0,0
103,EC155,2017,0,0
104,EC155,2018,0,0
105,EC155,2019,0,0
106,EC155,2020,0,0
107,EC155,2021,0,0
108,EC155,2022,0,0
109,EC155,2023,0,0
110,EC156,2022,0,0
111,EC157,2016,0,0
112,EC157,2017,0,0
113,EC157,2018,0,0
114,EC157,2019,0,0
115,EC157,2020,0,0
116,EC157,2021,0,0
117,EC157,2022,0,0
118,EC157,2023,0,0
119,EC441,2014,0,12
120,EC441,2015,0,10
121,EC441,2016,0,0
