t,k,exportVal,rca,distance,importVal,imports_norm,density,code,description
2010,441011,9080.494,0.3618,0.7399,5188.904,0.0539,0.2601,441011,"Particle board of wood, whether or not agglomerated with resins or other organic binding substances"
2010,441112,1738.841,0.2704,0.7413,2902.063,0.0301,0.25870000000000004,441112,"Medium density fibreboard (MDF), of a thickness not exceeding 5 mm"
2010,441113,246.102,0.0231,0.7826,15109.515,0.1571,0.21740000000000004,441113,"Medium density fibreboard (MDF), of a thickness exceeding 5 mm but not exceeding 9 mm"
2010,441114,3272.858,0.1803,0.7718,11201.491,0.1165,0.22819999999999996,441114,"Medium density fibreboard (MDF), of a thickness exceeding 9 mm"
2010,540411,48.954,0.057,0.7955,1546.497,0.016,0.20450000000000002,540411,Elastomeric monofilament: of 67 decitex or more and of which no cross-sectional dimension exceeds 1mm
2010,540412,248.985,0.4443,0.8027,5389.302,0.056,0.19730000000000003,540412,Monofilament of polypropylene: of 67 decitex or more and of which no cross-sectional dimension exceeds 1mm
2010,540419,170.176,0.0389,0.8164,2451.82,0.0254,0.18359999999999999,540419,Monofilament n.e.c. in heading no 5404: of 67 decitex or more and of which no cross-sectional dimension exceeds 1mm
2010,540490,1031.997,0.4538,0.7852,2279.942,0.0236,0.2148,540490,"Filament, synthetic: strip and the like (e.g.. artificial straw), of synthetic textile materials of an apparent width not exceeding 5mm"
2010,540710,9155.248,0.6165,0.8062,8742.961,0.0909,0.19379999999999997,540710,"Fabrics, woven: from high tenacity yarn, of nylon, other polyamides or of polyesters"
2010,540720,1772.987,0.2941,0.7464,3968.132,0.0412,0.25360000000000005,540720,"Fabrics, woven: from strip or the like, of synthetic textile materials"
2010,540730,32.076,0.0869,0.7865,83.789,0.0008,0.21350000000000002,540730,"Fabrics, woven: from synthetic filament yarn, adhesive or thermal bonded"
2010,540741,67.535,0.0254,0.8289,2656.75,0.0276,0.17110000000000003,540741,"Fabrics, woven: containing 85% or more by weight of filaments of nylon or other polyamides, unbleached or bleached"
2010,540742,457.588,0.0658,0.8087,6263.265,0.0651,0.19130000000000003,540742,"Fabrics, woven: containing 85% or more by weight of filaments of nylon or other polyamides, dyed"
2010,540743,409.269,1.0318,0.7741,220.043,0.0022,0.2259,540743,"Fabrics, woven: containing 85% or more by weight of filaments of nylon or other polyamides, of yarns of different colours"
