,Element Name,Level,Importance
0,Near Vision,3.529876458476321,3.526067261496225
1,Oral Comprehension,3.4877213452299243,3.4711942347288947
2,Oral Expression,3.419643102264928,3.440329444063144
3,Customer and Personal Service,3.6286410432395333,3.4123198352779682
4,Active Listening,3.1673301304049417,3.3582978723404255
5,Speaking,2.877446808510638,3.3215923129718603
6,English Language,3.023973919011668,3.280137268359643
7,Problem Sensitivity,3.014975978037062,3.2570144131777625
8,Speech Recognition,3.079505833905285,3.2416403568977348
9,Written Comprehension,3.0722717913520934,3.2089224433768013
10,Speech Clarity,2.881633493479753,3.2002059025394645
11,Information Ordering,2.9686410432395336,3.194728894989705
12,Reading Comprehension,2.945717227179135,3.169560741249142
13,Critical Thinking,3.002024708304736,3.1501990391214827
14,Deductive Reasoning,3.068112560054907,3.132299245024022
15,Inductive Reasoning,2.8851681537405627,3.0739739190116677
16,Monitoring,2.8847838023335624,3.042505147563487
17,Administration and Management,3.0103568977350723,3.02522306108442
18,Time Management,2.7054083733699383,2.9722031571722716
19,Social Perceptiveness,2.643191489361702,2.9691832532601237
20,Category Flexibility,2.9298695950583387,2.961015785861359
21,Judgment and Decision Making,2.677584076870281,2.943266986959506
22,Written Expression,2.637398764584763,2.9411393273850375
23,Selective Attention,2.778085106382979,2.940260809883322
24,Coordination,2.8434797529169527,2.933122855181881
25,Finger Dexterity,2.691866849691146,2.8772477693891556
26,Manual Dexterity,2.4578105696636925,2.8753534660260813
27,Arm-Hand Steadiness,2.600494166094715,2.8709746053534664
28,Far Vision,2.8297872340425534,2.8483459162663007
29,Complex Problem Solving,2.644962251201098,2.8328826355525054
30,Service Orientation,2.565216197666438,2.827103637611531
31,Writing,2.6599245024021965,2.7650583390528483
32,Active Learning,2.658592999313658,2.746547700754976
33,Perceptual Speed,2.633816060398078,2.738792038435141
34,Administrative,2.936417295813315,2.7341660947151682
35,Mathematics,2.64229238160604,2.7133973919011667
36,Flexibility of Closure,2.597831159917639,2.6879341111873716
37,Visualization,2.7105833905284835,2.6857789979409743
38,Persuasion,2.4849004804392587,2.6757515442690463
39,Multilimb Coordination,2.264371997254633,2.67531914893617
40,Trunk Strength,2.4764035689773505,2.6655593685655457
41,Control Precision,2.424742621825669,2.655085792724777
42,Production and Processing,2.5612903225806454,2.631386410432395
43,Education and Training,2.7442347288949898,2.5921002059025393
44,Computers and Electronics,2.728785175017159,2.5831640356897734
45,Public Safety and Security,2.265964310226493,2.5629993136582017
46,Fluency of Ideas,2.411070693205216,2.5228826355525054
47,Operations Monitoring,2.1546533973919013,2.5121619766643786
48,Mechanical,2.4518188057652712,2.505051475634866
49,Time Sharing,2.387110501029513,2.4983527796842826
